DIAS DISPONIBLES;ROSSELLO;Dia_cita;DIAS_PARA_SER_ATENDIDO
21/08/2020;NO;1;15
25/08/2020;SI;2;19
27/08/2020;SI;3;21
28/08/2020;SI;4;22
01/09/2020;SI;5;26
02/09/2020;NO;6;27
03/09/2020;NO;7;28
08/09/2020;SI;8;33
09/09/2020;NO;9;34
15/09/2020;SI;10;40
16/09/2020;NO;11;41
17/09/2020;SI;12;42
18/09/2020;SI;13;43
23/09/2020;NO;14;48
25/09/2020;NO;15;50
29/09/2020;NO;16;54
30/09/2020;NO;17;55
28/10/2020;NO;18;83
03/11/2020;NO;19;89
04/11/2020;NO;20;90
05/11/2020;NO;21;91
06/11/2020;NO;22;92
10/11/2020;SI;23;96
11/11/2020;NO;24;97
12/11/2020;NO;25;98
17/11/2020;NO;26;103
19/11/2020;NO;27;105
24/11/2020;NO;28;110
26/11/2020;NO;29;112
27/11/2020;NO;30;113
04/12/2020;NO;31;120
16/12/2020;SI;32;132
17/12/2020;SI;33;133
30/12/2020;NO;34;146
12/01/2021;NO;35;159
13/01/2021;NO;36;160
18/01/2021;NO;37;165
21/01/2021;NO;38;168
22/01/2021;NO;39;169
22/01/2021;NO;40;169
26/01/2021;NO;41;173
29/01/2021;NO;42;176
05/02/2021;NO;43;183
09/02/2021;NO;44;187
19/02/2021;NO;45;197
