DIAS DISPONIBLES;ROSSELLO;Dia_cita;DIAS_PARA_SER_ATENDIDO
06/08/2020;NO;1;0
12/08/2020;NO;2;6
13/08/2020;NO;3;7
19/08/2020;NO;4;13
20/08/2020;NO;5;14
27/08/2020;NO;6;21
03/09/2020;NO;7;28
10/09/2020;NO;8;35
17/09/2020;NO;9;42
24/09/2020;NO;10;49
01/10/2020;NO;11;56
02/10/2020;NO;12;57
08/10/2020;NO;13;63
15/10/2020;NO;14;70
22/10/2020;NO;15;77
29/10/2020;NO;16;84
05/11/2020;NO;17;91
12/11/2020;NO;18;98
19/11/2020;NO;19;105
26/11/2020;NO;20;112
03/12/2020;NO;21;119
10/12/2020;NO;22;126
28/12/2020;NO;23;144
21/01/2021;NO;24;168
28/01/2021;NO;25;175
04/02/2021;NO;26;182
11/02/2021;NO;27;189
18/02/2021;NO;28;196
25/02/2021;NO;29;203
